,MDS_x,MDS_y,country,iso_alpha,continent,tsne_x,tsne_y,scluster6,kmeans6
432,-1.3578473081548807,1.7337150702648043,Dominican Republic,DOM,Americas,-1.2703854,2.1273952,1,1
444,-1.00604792582585,0.01054981329736272,Ecuador,ECU,Americas,0.2988322,2.1364055,1,1
456,-0.02744464894259024,2.3646384673525565,Egypt,EGY,Africa,-2.487028,-0.4567827,0,1
468,-0.30025824033101933,0.8612399388095199,El Salvador,SLV,Americas,-0.55872035,0.86148405,1,1
480,3.502365702023988,4.647380605761347,Equatorial Guinea,GNQ,Africa,-6.460946,-8.192,5,3
492,2.4835284722920536,4.63163724185383,Eritrea,ERI,Africa,-5.5619555,-6.968664,5,3
504,3.1065217029658156,4.582795721117178,Ethiopia,ETH,Africa,-6.246262,-7.1438384,5,3
516,-2.474505445069875,-5.947710618318305,Finland,FIN,Europe,5.205743,9.792575,2,2
528,-2.4855632306346704,-6.849854053305191,France,FRA,Europe,5.424792,10.245105,3,0
540,3.4542918276169443,-1.6960348839308885,Gabon,GAB,Africa,-3.6984775,1.5784749,0,4
552,2.246550570425232,5.269725206609978,Gambia,GMB,Africa,-5.1620045,-7.6985497,5,3
564,-1.7434810916925223,-7.726672152027544,Germany,DEU,Europe,5.6895285,10.814721,3,0
576,1.2249763189080793,3.2048210201719067,Ghana,GHA,Africa,-3.8612075,-3.5034668,0,3
588,-3.3049408523277894,-4.290506130548765,Greece,GRC,Europe,4.727384,8.437825,2,2
600,0.1805842018041662,1.5900673545598534,Guatemala,GTM,Americas,-1.481675,-0.023455368,1,1
612,2.981595908613607,5.103861677982958,Guinea,GIN,Africa,-5.9223514,-7.9106812,5,3
624,4.467784473291866,5.317975744503983,Guinea-Bissau,GNB,Africa,-7.2093186,-8.50027,5,3
636,1.6713225289319322,3.330925292351385,Haiti,HTI,Americas,-4.6607866,-4.108448,0,3
648,-0.339329156314802,1.9725286588913982,Honduras,HND,Americas,-1.8876543,0.32565928,1,1
660,-4.492981135471751,-4.4545928031102,"Hong Kong, China",HKG,Asia,5.810986,8.299423,2,2
672,-1.9176692084549232,-3.201951908597171,Hungary,HUN,Europe,3.1969306,7.4125547,4,5
684,-3.2916279146993532,-7.652126314045706,Iceland,ISL,Europe,6.241929,10.490525,3,0
696,0.5331723018174804,3.467140210416054,India,IND,Asia,-3.6899228,-2.4610436,0,1
708,-0.05105713650075068,3.4039288426474843,Indonesia,IDN,Asia,-3.5850506,-1.370838,0,1
720,0.41692244280460156,-0.2879055137929431,Iran,IRN,Asia,0.26485142,0.69173646,1,1
732,1.9380821810931792,-1.327150991139879,Iraq,IRQ,Asia,0.61212224,-0.7330115,0,4
744,-3.897879751043933,-4.576854534726598,Ireland,IRL,Europe,5.470326,8.560137,2,2
756,-3.1085028707172917,-4.47107075207547,Israel,ISR,Asia,4.7437496,8.647689,2,2
768,-3.0945316907237985,-5.358066311522618,Italy,ITA,Europe,5.2234683,9.2320175,2,2
780,-2.7365980490448547,-0.9134512042258065,Jamaica,JAM,Americas,1.6548355,5.693137,4,5
792,-4.124392353710816,-5.629446657558568,Japan,JPN,Asia,5.8585334,9.1597595,2,2
804,-0.873634783651423,1.7775714839093903,Jordan,JOR,Asia,-1.7617913,1.041634,1,1
816,1.7587166955187625,2.584508384422001,Kenya,KEN,Africa,-3.055439,-4.3918614,0,3
828,-2.0943443552324994,1.5273762360614138,"Korea, Dem. Rep.",KOR,Asia,-1.0586187,3.457868,1,1
840,-1.164002407481611,-0.8596047373392601,"Korea, Rep.",KOR,Asia,1.2844734,3.1452737,1,1
852,-1.4321600406385269,-1.339487152315488,Lebanon,LBN,Asia,2.3050334,5.2116723,4,5
864,3.1106845471394227,2.57426393960458,Lesotho,LSO,Africa,-3.3237786,-5.4968133,0,3
876,4.320587058879101,4.297241185909183,Liberia,LBR,Africa,-7.6344733,-7.2160864,5,3
888,2.7169214460766913,-3.621414607093991,Libya,LBY,Africa,1.7376565,0.75064594,0,4
900,2.11526027016366,3.9332353752343088,Madagascar,MDG,Africa,-5.504776,-4.952122,0,3
912,3.6198248900582963,4.510486927618573,Malawi,MWI,Africa,-6.797193,-7.3460655,5,3
924,-1.871557039561187,0.5475502345857328,Malaysia,MYS,Asia,0.25292683,3.2252357,1,1
936,3.1122304332272948,4.92701087238367,Mali,MLI,Africa,-6.164793,-7.7063584,5,3
948,0.9434609363079633,3.3569722793926875,Mauritania,MRT,Africa,-4.197426,-2.9551547,0,3
960,-2.0469557174885042,0.6020481230524991,Mauritius,MUS,Africa,0.02019946,3.627935,1,1
972,-1.5047711977544258,-0.9854112113248048,Mexico,MEX,Americas,1.7180641,4.354391,4,5
984,0.10775507810910925,2.762501199177443,Mongolia,MNG,Asia,-2.8802712,-1.4875071,0,1
996,-3.1012183065472936,-1.387515815442882,Montenegro,MNE,Europe,1.7359453,6.5125694,4,5
1008,-0.38170386377900706,2.3169212854266674,Morocco,MAR,Africa,-2.2499666,0.010905251,1,1
1020,4.331343369654367,4.973098416117118,Mozambique,MOZ,Africa,-7.358803,-8.004953,5,3
1032,0.49525833859792534,3.635685119130593,Myanmar,MMR,Asia,-3.387011,-2.807051,0,3
1044,1.6170541861124772,1.5413032989009268,Namibia,NAM,Africa,-2.2510405,-4.0454044,0,1
1056,1.417406533763091,4.297419792352242,Nepal,NPL,Asia,-5.4519887,-3.9068754,0,3
1068,-2.4575795686611563,-8.461445151413402,Netherlands,NLD,Europe,6.1929483,11.139847,3,0
1080,-2.70628061147867,-6.959622951137132,New Zealand,NZL,Oceania,4.908066,11.091673,3,0
1092,-0.09580307094146442,1.3321099765292037,Nicaragua,NIC,Americas,-1.0170351,0.25013202,1,1
1104,2.8414610594385863,4.818565592807086,Niger,NER,Africa,-5.828118,-7.5339518,5,3
1116,3.697613781435942,4.081438040650308,Nigeria,NGA,Africa,-6.90416,-7.1606803,5,3
1128,-2.317968152412649,-10.353884583642156,Norway,NOR,Europe,6.662311,11.57522,3,0
1140,1.8662207445047887,-2.3950675213220314,Oman,OMN,Asia,-3.2398298,2.8538408,1,4
1152,0.3747181205862862,2.9830246477332594,Pakistan,PAK,Asia,-3.2187834,-2.0719876,0,1
1164,-2.553354082231007,-0.3082394357643863,Panama,PAN,Americas,0.99526316,4.889055,4,5
1176,-2.857499035667766,0.946422591520352,Paraguay,PRY,Americas,-0.46690008,4.671599,1,5
1188,0.09499083355481734,0.32499259769243993,Peru,PER,Americas,-0.19698963,0.5783587,1,1
1200,-1.2076389823053904,2.0078233438721367,Philippines,PHL,Asia,-1.5799835,1.9838717,1,1
1212,-2.761651209223365,-1.921720229666888,Poland,POL,Europe,2.5258932,6.4421887,4,5
1224,-2.847369426603584,-2.7803433998328453,Portugal,PRT,Europe,4.2226152,7.3635864,2,2
1236,-3.468178598033102,-2.8731181641898043,Puerto Rico,PRI,Americas,4.059502,7.509859,2,2
1248,-2.378365371780897,0.17790889363383885,Reunion,REU,Africa,0.6721652,4.1801133,1,5
1260,-2.36671883037616,-1.381102529118385,Romania,ROU,Europe,1.9598813,6.211947,4,5
1272,5.597607927696808,3.9094147532968435,Rwanda,RWA,Africa,-8.4649,-7.1646175,5,3
1284,-0.41929013399756004,2.6204124834075118,Sao Tome and Principe,STP,Africa,-2.3254027,-1.0816875,0,1
1296,3.664366792213312,-6.873136997296186,Saudi Arabia,SAU,Asia,3.3957083,11.285411,3,4
1308,1.2253130583397824,3.583766644999818,Senegal,SEN,Africa,-4.803397,-3.367872,0,3
1320,-1.6768342224870185,-2.595094655238009,Serbia,SRB,Europe,2.4199643,7.1109123,4,5
1332,5.409068034523692,5.1637857386681505,Sierra Leone,SLE,Africa,-7.840643,-8.576275,5,3
1344,-0.3999081381441479,-5.809912734271009,Singapore,SGP,Asia,6.054216,8.142402,2,2
1356,-2.4318734915822025,-3.063535958688596,Slovak Republic,SVK,Europe,3.232518,7.248312,4,5
1368,-2.3801041890936387,-4.412255633151431,Slovenia,SVN,Europe,4.2948647,8.694105,2,2
1380,4.359428769900613,4.564348100332101,Somalia,SOM,Africa,-7.517186,-7.815939,5,3
1392,2.078084126429318,-0.2566254441491651,South Africa,ZAF,Africa,0.36806145,-1.1151075,0,1
1404,-3.6287479204216444,-4.200017579722425,Spain,ESP,Europe,4.955257,8.316045,2,2
1416,-2.934365465130317,1.6479116530741669,Sri Lanka,LKA,Asia,-0.8289553,4.2528243,1,1
1428,2.07798009158614,3.571468509587402,Sudan,SDN,Africa,-5.2512813,-4.7571797,0,3
1440,3.211621983295692,2.0339754137705834,Swaziland,SWZ,Africa,-3.2772748,-5.532501,0,3
1452,-2.801570458703605,-7.766725045276144,Sweden,SWE,Europe,5.979772,10.828545,3,0
1464,-0.4986901225569889,-12.043155114984778,Switzerland,CHE,Europe,6.186275,12.393355,3,0
1476,-1.266422160383032,1.6386698887804223,Syria,SYR,Asia,-1.3296095,1.6699321,1,1
1488,-4.3423560516450035,-1.274797185555848,Taiwan,TWN,Asia,4.75511,6.501224,2,2
1500,2.78278240585118,3.5776744347090292,Tanzania,TZA,Africa,-5.639759,-5.913406,5,3
1512,-1.650117918381317,1.7595735803252321,Thailand,THA,Asia,-1.1669445,2.7680159,1,1
1524,1.362357251269957,3.259851261138737,Togo,TGO,Africa,-3.962793,-3.670479,0,3
1536,-1.9301666136097189,-1.2881723188383234,Trinidad and Tobago,TTO,Americas,1.9276158,5.7269883,4,5
1548,-1.1667872190736222,1.7108075616631335,Tunisia,TUN,Africa,-1.6726551,1.4143013,1,1
1560,-0.59570827132614,1.2184193230299658,Turkey,TUR,Europe,-0.9234252,1.2548714,1,1
1572,3.2048011698735626,3.3818937875044512,Uganda,UGA,Africa,-6.369949,-5.8531113,5,3
1584,-2.13605405006507,-7.487312382138467,United Kingdom,GBR,Europe,5.247949,11.077106,3,0
1596,-0.8039386639979789,-10.708479886922701,United States,USA,Americas,6.250866,12.067632,3,0
1608,-3.3622192825233315,-1.5363363479314343,Uruguay,URY,Americas,2.7005565,5.8670382,4,5
1620,-0.5220790514101735,-3.292430890812106,Venezuela,VEN,Americas,3.5692685,6.0587106,4,5
1632,-0.9227720187286541,3.3174839095316453,Vietnam,VNM,Asia,-3.0570538,-0.25451484,0,1
1644,-0.9867034770655708,1.50299044365952,West Bank and Gaza,PSE,Asia,-1.4895364,1.2363821,1,1
1656,1.6579770734344732,4.692414870006717,"Yemen, Rep.",YEM,Asia,-6.132987,-4.231771,0,3
1668,4.2572688266586125,2.878934206557507,Zambia,ZMB,Africa,-7.388388,-5.7833915,5,3
1680,3.597743264330393,1.5521159869946553,Zimbabwe,ZWE,Africa,-2.5622787,-5.439638,0,3
